name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A2	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A3	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A4	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A5	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A6	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A7	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A8	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A9	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A10	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A11	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A12	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A13	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A14	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A15	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A16	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A17	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A18	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A19	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A20	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A21	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A22	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A23	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A24	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A25	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A26	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
A27	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A28	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
